Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,56.24477,-51.541422,90.0,bottom
C2,100nF,C_0402_1005Metric,57.376141,-51.541422,90.0,bottom
C3,100nF,C_0402_1005Metric,66.2,-51.4,180.0,bottom
C4,100nF,C_0402_1005Metric,65.861422,-60.592389,270.0,bottom
C5,10nF,C_0402_1005Metric,61.194517,-62.148023,180.0,bottom
C6,4.7uF,C_0402_1005Metric,66.2,-50.26863,180.0,bottom
C7,4.7uF,C_0402_1005Metric,66.992793,-60.592389,270.0,bottom
C8,1uF,C_0402_1005Metric,61.194517,-63.279394,180.0,bottom
C10,100nF,C_0402_1005Metric,62.776,-62.73,270.0,bottom
C11,1uF,C_0402_1005Metric,121.376,-40.52,90.0,bottom
C12,1uF,C_0402_1005Metric,114.576,-39.6,90.0,bottom
D1,D_Small,D_SOD-123,33.376,-30.85,90.0,bottom
D2,D_Small,D_SOD-123,33.376,-49.9,90.0,bottom
D3,D_Small,D_SOD-123,33.376,-68.95,90.0,bottom
D4,D_Small,D_SOD-123,33.376,-88.0,90.0,bottom
D5,D_Small,D_SOD-123,33.376,-107.05,90.0,bottom
D6,D_Small,D_SOD-123,52.426,-30.85,90.0,bottom
D7,D_Small,D_SOD-123,52.426,-49.9,90.0,bottom
D8,D_Small,D_SOD-123,52.426,-68.95,90.0,bottom
D9,D_Small,D_SOD-123,52.426,-88.0,90.0,bottom
D10,D_Small,D_SOD-123,52.426,-107.05,90.0,bottom
D11,D_Small,D_SOD-123,76.2385,-30.85,90.0,bottom
D12,D_Small,D_SOD-123,81.001,-49.9,90.0,bottom
D13,D_Small,D_SOD-123,83.38225,-68.95,90.0,bottom
D14,D_Small,D_SOD-123,88.14475,-88.0,90.0,bottom
D15,D_Small,D_SOD-123,85.2,-107.05,90.0,bottom
D16,D_Small,D_SOD-123,95.2885,-30.85,90.0,bottom
D17,D_Small,D_SOD-123,104.8135,-49.9,90.0,bottom
D18,D_Small,D_SOD-123,109.576,-68.95,90.0,bottom
D19,D_Small,D_SOD-123,119.101,-88.0,90.0,bottom
D20,D_Small,D_SOD-123,109.0,-107.05,90.0,bottom
D21,D_Small,D_SOD-123,114.3385,-30.85,90.0,bottom
D22,D_Small,D_SOD-123,123.8635,-49.9,90.0,bottom
D23,D_Small,D_SOD-123,128.626,-68.95,90.0,bottom
D24,D_Small,D_SOD-123,138.151,-88.0,90.0,bottom
D25,D_Small,D_SOD-123,132.8,-107.05,90.0,bottom
D26,D_Small,D_SOD-123,133.3885,-30.85,90.0,bottom
D27,D_Small,D_SOD-123,142.9135,-49.9,90.0,bottom
D28,D_Small,D_SOD-123,147.676,-68.95,90.0,bottom
D29,D_Small,D_SOD-123,157.201,-88.0,90.0,bottom
D30,D_Small,D_SOD-123,152.4385,-30.85,90.0,bottom
D31,D_Small,D_SOD-123,161.9635,-49.9,90.0,bottom
D32,D_Small,D_SOD-123,166.726,-68.95,90.0,bottom
D33,D_Small,D_SOD-123,176.251,-88.0,90.0,bottom
D34,D_Small,D_SOD-123,171.4885,-30.85,90.0,bottom
D35,D_Small,D_SOD-123,181.0135,-49.9,90.0,bottom
D36,D_Small,D_SOD-123,185.776,-68.95,90.0,bottom
D37,D_Small,D_SOD-123,195.301,-88.0,90.0,bottom
D38,D_Small,D_SOD-123,190.5385,-30.85,90.0,bottom
D39,D_Small,D_SOD-123,200.0635,-49.9,90.0,bottom
D40,D_Small,D_SOD-123,204.826,-68.95,90.0,bottom
D41,D_Small,D_SOD-123,214.351,-88.0,90.0,bottom
D42,D_Small,D_SOD-123,209.5885,-107.05,90.0,bottom
D43,D_Small,D_SOD-123,209.5885,-30.85,90.0,bottom
D44,D_Small,D_SOD-123,219.1135,-49.9,90.0,bottom
D45,D_Small,D_SOD-123,223.876,-68.95,90.0,bottom
D46,D_Small,D_SOD-123,233.401,-88.0,90.0,bottom
D47,D_Small,D_SOD-123,228.6385,-30.85,90.0,bottom
D48,D_Small,D_SOD-123,238.1635,-49.9,90.0,bottom
D49,D_Small,D_SOD-123,242.926,-68.95,90.0,bottom
D50,D_Small,D_SOD-123,252.451,-88.0,90.0,bottom
D51,D_Small,D_SOD-123,247.6885,-30.85,90.0,bottom
D52,D_Small,D_SOD-123,257.2135,-49.9,90.0,bottom
D53,D_Small,D_SOD-123,261.976,-68.95,90.0,bottom
D54,D_Small,D_SOD-123,271.501,-88.0,90.0,bottom
D56,D_Small,D_SOD-123,266.7385,-30.85,90.0,bottom
D57,D_Small,D_SOD-123,276.2635,-49.9,90.0,bottom
D58,D_Small,D_SOD-123,281.026,-68.95,90.0,bottom
D59,D_Small,D_SOD-123,290.551,-88.0,90.0,bottom
D60,D_Small,D_SOD-123,297.2,-107.05,90.0,bottom
D61,D_Small,D_SOD-123,285.7885,-30.85,90.0,bottom
D62,D_Small,D_SOD-123,295.3135,-49.9,90.0,bottom
D63,D_Small,D_SOD-123,300.076,-68.95,90.0,bottom
D64,D_Small,D_SOD-123,316.74475,-88.0,90.0,bottom
D65,D_Small,D_SOD-123,304.8385,-30.85,90.0,bottom
D66,D_Small,D_SOD-123,314.3635,-49.9,90.0,bottom
D67,D_Small,D_SOD-123,331.03225,-68.95,90.0,bottom
D68,D_Small,D_SOD-123,342.9385,-88.0,90.0,bottom
D69,D_Small,D_SOD-123,323.8885,-107.05,90.0,bottom
D70,D_Small,D_SOD-123,313.6,-30.85,90.0,bottom
D71,D_Small,D_SOD-123,338.176,-49.9,90.0,bottom
D72,D_Small,D_SOD-123,361.9885,-49.9,90.0,bottom
D73,D_Small,D_SOD-123,342.9385,-107.05,90.0,bottom
D74,D_Small,D_SOD-123,342.9385,-30.85,90.0,bottom
D75,D_Small,D_SOD-123,361.9885,-30.85,90.0,bottom
D76,D_Small,D_SOD-123,361.9885,-68.95,90.0,bottom
D77,D_Small,D_SOD-123,361.9885,-88.0,90.0,bottom
D78,D_Small,D_SOD-123,361.9885,-107.05,90.0,bottom
J1,DB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,125.3085,-36.9,270.0,bottom
R1,10k,R_0603_1608Metric,69.376,-60.25,270.0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,61.901624,-55.784062,90.0,bottom
U2,XC6206PxxxMR,SOT-23,118.6625,-40.0,180.0,bottom
